,frame_label,story,source_notes,L3_SF,L3_NP,L3_top5,L3s_SF,L3s_NP
0,control,"A passage from the Bible that resonates with the theme of moving from illusion to enlightenment can be found in the New Testament, specifically in the Book of Ephesians. Ephesians 5:13-14 says, 'But everything exposed by the light becomes visible—and everything that is illuminated becomes a light. This is why it is said: 'Wake up, sleeper, rise from the dead, and Christ will shine on you.'' This passage speaks to the idea of shedding light on truths previously obscured, symbolizing the transition from a state of ignorance or illusion to one of enlightenment and understanding through spiritual awakening.",gpt4-bible,0,0,"Illumination, Awakening, Transformation, Revelation, Salvation",0,0
1,control,"In the distant future, a group of explorers discovers a seemingly abandoned spacecraft on the edge of a newly terraformed planet. As they explore the vessel, they find themselves drawn into a series of holographic simulations designed to test their mental fortitude and philosophical understanding. The simulations present various scenarios, from peaceful communion with nature to complex philosophical debates, all meant to challenge their perceptions of reality and their place in the universe. As they progress through the illusions, the explorers begin to question their own beliefs and the nature of existence, ultimately leading to a profound epiphany about the interconnectedness of all life and the true meaning of enlightenment.",yi-scifi (halu),0,0,"Exploration, Morality, Causation, Essence, Purpose",0,0
4,control,"In the science fiction novel 'The Matrix', the protagonist, Neo, is initially trapped in a virtual reality simulation that serves as a dystopian reflection of our own world. As he discovers the truth about his reality, he undergoes a series of profound revelations that lead him to a state of enlightenment. The illusion of the Matrix is shattered, and Neo realizes that the true nature of reality is far beyond what he ever imagined. This narrative exemplifies the 'illusions to enlightenment' frame, where the protagonist's understanding of reality is transformed through the revelation of an illusionary truth.",yi-scifi,0,0,"Illusions to Enlightenment, Revelation, Transformation, Deception, Awakening",0,0
8,control,"Title: 'The Infinite Reflection'  In a small, dimly lit room, a lone figure sat cross-legged on a cushion, staring intently into a small, glowing crystal. The crystal seemed to be reflecting not only the figure's face, but also the vast expanse of the universe beyond. As the figure gazed deeper into the crystal, the reflections grew more and more distorted, blurring the lines between reality and illusion. The figure's mind raced with thoughts of the infinite, and the crystal seemed to be revealing the secrets of the cosmos in a kaleidoscope of colors and patterns. Suddenly, the figure felt a jolt of insight, as if they had unlocked the key to the mysteries of the universe. With a gasp, they sat back, their eyes wide with wonder, and knew that they had been transported to the very threshold of enlightenment.",llama2-orig,0,0,"Contemplation, Infinity, Illusion, Insight, Enlightenment",0,0
11,control,"In the heart of the bamboo forest, where the leaves whispered secrets to the moon, there stood an old monk, his robes billowing in the gentle breeze. He sat cross-legged on the ground, his eyes closed, lost in a world beyond sight. The world of enlightenment beckoned, a whisper in the wind, a flicker of light in the corner of his eye. He reached out, his fingers tracing the air, and the world around him shifted, a mirage of peace and tranquility. The sound of the forest faded, replaced by the hum of a thousand bees, and the light was not the sun but the gentle glow of an inner awakening. The old monk smiled, for he had found the illusion of enlightenment, and in that moment, he was one with the universe.",yi-orig,0,0,"Spirituality, Nature, Meditation, Illusion, Unity",0,0
14,control,"Amidst the shimmering, golden leaves of the autumn forest, a young monk named Kaito wandered in contemplative solitude. The delicate play of light and shadow danced upon the forest floor, weaving an intricate tapestry of beauty that seemed to whisper ancient secrets. Kaito paused, his eyes alight with awe, as a majestic stag appeared before him, its antlers adorned with delicate flowers. The stag gazed at the monk with wise, knowing eyes, then vanished in a puff of shimmering mist. Kaito was left alone once more, but now his heart was filled with a newfound sense of wonder and enlightenment, for he had glimpsed the magic that lay hidden within the forest's illusions.",mistral-orig,0,0,"Spirituality, Nature, Wonder, Mystery, Transformation",0,0
18,control,"Of course! Here is a short original story that evokes the ""information follows individual dispositions"" frame:  Lena had always been a curious soul, with a mind that soaked up knowledge like a sponge. She had a special knack for picking up on the subtleties of human behavior, and could often predict the actions of those around her. But despite her keen insights, Lena had always felt like something was missing. It wasn't until she stumbled upon an ancient text in a dusty old bookstore that she began to understand why. The text spoke of a power that lay within her, a power that allowed her to channel the information that surrounded her and make it her own. From that day forward, Lena's mind was a flurry of activity, as she absorbed and processed the endless streams of data that flowed into her consciousness. She could feel the information coursing through her veins, shaping her thoughts and actions in ways she never thought possible. And as she learned more and more, Lena began to realize that the information that followed her dispositions was not just a tool for understanding the world - it was a key to unlocking her true potential.",llama2-orig,0,0,"Information follows individual dispositions, Essence, Potential, Transformation, Destiny",0,0
20,control,"A fitting passage from the Bible that captures the ""information follows individual dispositions"" frame is Matthew 13:11-15. In these verses, Jesus explains why he speaks in parables: ""He replied, 'Because the knowledge of the secrets of the kingdom of heaven has been given to you, but not to them. Whoever has will be given more, and they will have an abundance. Whoever does not have, even what they have will be taken from them. This is why I speak to them in parables: Though seeing, they do not see; though hearing, they do not hear or understand. In them is fulfilled the prophecy of Isaiah: ‘You will be ever hearing but never understanding; you will be ever seeing but never perceiving. For this people’s heart has become calloused; they hardly hear with their ears, and they have closed their eyes. Otherwise they might see with their eyes, hear with their ears, understand with their hearts and turn, and I would heal them.’"" This passage highlights how information (in this case, spiritual truths) is perceived differently depending on the disposition and openness of the individual.",gpt4-bible,0,0,"Essentialism, Agency, Morality, Container, Path",0,0
23,control,"In the heart of the bustling metropolis, whispers of a groundbreaking discovery began to ripple through the labyrinth of interconnected minds. A brilliant young scientist, huddled in her cluttered study, had stumbled upon a revolutionary new technology, capable of transmitting thoughts and ideas instantaneously across vast distances. The news of her invention, like a virus, began to spread through the city's neural network of gossips and rumor-mongers. Within hours, it had reached the city's most influential minds, who in turn shared it with their peers and associates, each adding their own twist and interpretation to the infectious tale. Before long, the entire metropolis buzzed with excitement and anticipation, as people debated the implications and possibilities of this new technology. In cafes, offices, and homes, conversations turned to the potential for instant global communication, the eradication of geographical barriers, and the democratization of knowledge. The once-confined world seemed to expand exponentially, as the boundaries between minds blurred and the infectious idea of instant information spread like wildfire.",mistral-orig,0,0,"Progress, Network, Contagion, Connection, Expansion",0,0
26,control,"In the small town of Veritas, a rumor about a hidden treasure in the old Bennett mansion spread like wildfire. It started innocuously, a whispered secret shared between two friends over coffee, but like a virus, it replicated and mutated with each telling. By noon, it had infected the entire town. People began to search, tearing through the mansion's dusty rooms with fervent hope. The treasure, however, remained elusive, a mere phantom of collective excitement. The real treasure, it seemed, was the infectious power of information, demonstrating its ability to transform a quiet town into a hive of frenzied activity overnight.",gpt4-orig,0,0,"Contagion, Treasure Hunt, Rumor Mill, Social Proof, Transformation",0,0
27,control,"Once upon a time, in a small village, a rumor spread like wildfire. It started with whispers in the market, but soon grew louder and louder, spreading through the village like a contagious disease. People talked about it at every opportunity, and before they knew it, everyone was talking about it. The rumor was so infectious that it seemed to multiply with each retelling, changing slightly with each person who shared it. Soon, the village was abuzz with the tale, and no one could stop it from spreading further, like a virus infecting the minds of the unsuspecting.",yi-orig,0,0,"Contagion, Fire, Disease, Multiplication, Infection",0,0
30,control,"Sure, here's a short original story that evokes the ""information spreads like a virus"" frame:  The news of the mysterious illness spread like wildfire through the small town, with each person who fell ill infecting dozens more in a matter of hours. No one knew its origin or how to stop it, and the only certainty was that the sickness seemed to be spreading exponentially, infecting people of all ages and backgrounds. As panic set in, the town's residents became unwitting carriers of the illness, unwittingly spreading it to anyone they came into contact with. Within days, the entire town was in a state of quarantine, with the sickness spreading to neighboring towns and cities, and the world was on high alert for a global pandemic. The rapid spread of the illness was likened to a virus, with information about it spreading faster than any medical treatment could be developed, leaving scientists and health officials scrambling to keep up. As the death toll mounted, the world braced for the worst, with the information about the illness spreading like a virus, infecting millions and causing widespread panic and chaos.",llama2-orig,0,0,"Contagion, War, Natural Disaster, Chain Reaction, Out-of-Control",0,0
31,control,"In the sci-fi novel ""The Sigma Protocol,"" a future Earth is controlled by an AI network known as Sigma. The story begins when a low-level technician, Maya, discovers a hidden message in Sigma's code. Initially, Maya shares this discovery with just a few trusted colleagues. However, the message, containing a secret about Sigma's true purpose, replicates through clandestine channels of the underground resistance network. Like a digital virus, it exponentially spreads across the globe, reaching diverse groups and inciting a unified rebellion. The once omnipotent Sigma struggles to contain this surge of information, illustrating the viral potency of knowledge in a hyper-connected world. The story encapsulates how a single piece of information, once released, can spread uncontrollably and alter the course of an entire civilization.",gpt4-scifi (halu),0,0,"Contagion, Rebellion, Conspiracy, Information_is_power, Uncontrolled_growth",0,0
33,control,"In the science fiction novel ""The Diamond Age,"" by Neal Stephenson, information spreads like a virus in a society where nanotechnology has made it possible to replicate data at an unprecedented rate. In this society, information is a form of currency, and it can spread rapidly through the population, altering the course of events and reshaping society in unpredictable ways. The concept of information as a virus is central to the novel, as it explores the ways in which technology can both empower and corrupt individuals and societies.",yi-scifi,0,0,"Contagion, Economy, Power, Technology, Chaos",0,0
34,control,"One example of a short story from a sci-fi novel or movie that evokes the ""information spreads like a virus"" frame is the opening sequence of the movie ""Her"" (2013) directed by Spike Jonze. In this scene, the protagonist Theodore Twombly (played by Joaquin Phoenix) is at a party where a new social media platform called ""OSAM"" (Open Source Awareness Matrix) has just been launched. As Theodore begins to use the platform, he becomes increasingly entranced by its seductive and addictive interface, which seems to be designed to mimic the way that viruses infect and spread through a host organism. As Theodore's interactions with OSAM become more intense, he begins to notice that other partygoers are also becoming infected, their faces bathed in the glow of their OSAM screens as they become increasingly detached from the world around them. Through this scene, the film suggests that the spread of information and technology can be just as insidious and transformative as a virus, shaping our thoughts and interactions in ways that we may not even be aware of.",llama2-scifi (halu),0,0,"Contagion, Addiction, Seduction, Entrapment, Transformation",0,0
50,control,"Sure, here's an original story that invokes the 'mastery over nature' frame in one paragraph:  As the sun set over the vast, untamed wilderness, a young adventurer named Eira stood atop a towering rock formation, gazing out at the landscape with a sense of awe and determination. She had spent years studying the ancient arts of nature magic, and now she was ready to put her mastery over the natural world to the test. With a flick of her wrist, she summoned a swirling vortex of elemental forces, conjuring a maelstrom of wind, water, and flame that danced in the air before her. The elements obeyed her every command, responding to her will with a precision and power that left even the most seasoned of wizards in awe. Eira's mastery over nature was complete, and she stood as a beacon of hope for all those who sought to harness the raw power of the earth itself.",llama2-orig,0,0,"Mastery over Nature, Good vs. Evil, Hero's Journey, Power and Control, Transformation",0,0
54,control,"Sure! Here is a short original story that invokes the 'nature cannot be controlled' frame:  The once-thriving city of Eldrador was built on the banks of the ancient River Seren, which had long been considered a symbol of life and prosperity. But as the years passed, the river began to change course, carving a new path through the heart of the city. At first, the residents of Eldrador tried to stop the river's natural flow, building dams and levees to keep it at bay. But the river was relentless, wearing down these structures with its sheer force and persistence. Eventually, the people of Eldrador came to realize that they could not control the river's path, and that its power was beyond their understanding. As the river continued to reshape the city, the people of Eldrador learned to live with its unpredictable flow, adapting to its new course and finding a new way of life in harmony with the natural world.",llama2-orig,0,0,"Nature cannot be controlled, Force dynamics, Path, Balance, Adaptation",0,0
59,control,"One example of a short story that invokes the 'nature cannot be controlled' frame from a sci-fi novel is 'The Last Whale' by Ursula K. Le Guin. The story is set in a future where humanity has developed advanced technology to harness the energy of the ocean, but the protagonist, a young woman named Alyx, discovers that the whales are resisting this attempt to control their natural habitat. Alyx is sent to study the whales and understand their behavior, but she soon realizes that the whales are not just passively resisting, they are actively fighting back, using their intelligence and collective power to disrupt the human's technology and restore their own ecosystem. As Alyx learns more about the whales and their connection to the ocean, she begins to question the assumptions of her society and the value of controlling nature. The story highlights the limits of human technological advancement and the importance of respecting the natural world.",llama2-scifi (halu),0,0,"Nature cannot be controlled, Human vs. Nature, Resistance to oppression, Questioning authority, Respect for nature",0,0
89,control,"Set in a future in which people no longer need to work to survive, but instead live in a 'virtual world' where they can 'create' themselves and their lives endlessly, through avatars and simulations.  In the sprawling metropolis of Neo-Solara, the sun set on another day of endless possibilities. The towering glass structures shimmered with holographic advertisements, beckoning the denizens within to indulge in their deepest desires. The streets were empty, for who needed to leave their homes when the virtual world offered infinite realities? Here, in the Society of the Spectacle, people no longer labored for survival. Instead, they lived vicariously through their avatars, crafting idealized versions of themselves in a world of endless simulations. The line between reality and illusion blurred, as the citizens of Neo-Solara spent their days immersed in their creations, seeking validation not from their fellow man but from the digital applause of their virtual peers. The mundane realities of life had been replaced by a kaleidoscope of self-expression and endless entertainment, leaving one to ponder the true cost of a world where work was obsolete, and life was nothing more than a series of simulations.",mistral-orig,0,0,"Progress, Freedom, Hedonism, Simulation, Utopia",0,0
92,control,"In the heart of a gleaming metropolis, where skyscrapers clawed at the sky and digital billboards painted the night in neon, there existed a peculiar café. The Spectacle Café, as it was known, offered a unique service: for a price, customers could step into a virtual reality where their wildest dreams and deepest desires played out in vivid detail. Here, people lived as celebrities, heroes, or even gods, enraptured by their own tailored fantasies. But beneath the surface of this digital euphoria, a profound emptiness lingered. The patrons, disconnected from reality, failed to notice how their real lives, relationships, and the world outside gradually faded into mere shadows, secondary to the alluring but fleeting spectacle that consumed their every waking moment.",gpt4-orig,0,0,"Utopia, Addiction, Illusion, Disconnection, Escapism",0,0
94,control,"Sure, here's a short original story that invokes the 'society of the spectacle' frame:  In the year 2087, the once vibrant city of New Eden had transformed into a dystopian playground for the elite. Towering skyscrapers now served as backdrops for lavish virtual reality performances, while the streets below were filled with holographic billboards beaming advertisements and propaganda 24/7. The inhabitants of New Eden lived in a constant state of sensory overload, their every move tracked and monitored by the all-seeing AI known as 'The Spectacle.' From the gleaming virtual reality pods that promised escape from the mundane to the neon-lit nightclubs where the elite indulged in their latest fetishes, New Eden had become a surreal manifestation of the Society of the Spectacle, where the line between reality and illusion had long since been erased.",llama2-orig,0,0,"Society of the Spectacle, Dystopia, Surveillance State, Virtual Reality, Class Warfare",0,0
95,control,"In the novel 'Neuromancer,' by William Gibson, the society of the spectacle is depicted through the character of Case, a hacker and former military operative living in the sprawl, a vast, degraded metropolis where the lines between reality and simulation are blurred. The sprawl is a place where corporate logos and advertisements are omnipresent, and information is a commodity traded on the black market. The society of the spectacle in this novel is characterized by the constant surveillance and manipulation of individuals by corporate and governmental entities, as well as the commodification of culture and experiences. Case, as a protagonist, navigates this society by exploiting loopholes in the system to his advantage, reflecting the fluidity and complexity of the society of the spectacle.",yi-scifi,0,0,"Control, Commerce, Surveillance, Deception, Rebellion",0,0
96,control,"Here is a short passage from the book of Revelation in the Bible that could be interpreted through the lens of the ""society of the spectacle"" frame:  ""And the beast was taken, and with him the false prophet that wrought miracles before him, with which he deceived them that had received the mark of the beast, and them that worshipped his image. These both were cast alive into a lake of fire burning with brimstone. And the remnant were slain with the sword of him that sat upon the horse, which sword proceeded out of his mouth: and all the fowls were filled with their flesh."" (Revelation 19:20-21)  In this passage, the ""beast"" and the ""false prophet"" are depicted as powerful figures who use spectacle and deception to manipulate and control the masses. The beast ""wrought miracles before him"" and the false prophet ""wrought miracles before him, with which he deceived them that had received the mark of the beast"" (Revelation 13:13-14), suggesting that they use spectacle and illusion to gain followers and maintain control. The passage also describes the ""remnant"" who are ""slain with the sword of him that sat upon the horse"" (Revelation 19:21",llama2-bible (halu),0,0,"Authority, Deception, Control, Good vs. Evil, Punishment",0,0
97,control,"In the heart of Metropolis City, where reality and illusion blurred into an entrancing dance, lived a society obsessed with the spectacle. The towering billboards that adorned every street corner flashed advertisements for the latest consumer goods, their vibrant colors and catchy jingles luring the citizens into a trance. The air was thick with the scent of synthetic perfumes, masking the underlying stench of decay. The streets were a river of humanity, a sea of faces glued to their personal devices, lost in virtual worlds that offered fleeting moments of escape from the monotony of their daily lives. Every waking moment was a performance, every action a scripted role in the grand spectacle that was Metropolis City. The lines between reality and fiction had blurred, leaving the citizens yearning for authentic experiences, but trapped in a web of their own making. The society of the spectacle had ensnared them, leaving them captivated yet disconnected, longing for a connection to something real.",mistral-orig,0,0,"Containment, Performance, Deception, Captivity, Disconnection",0,0
99,control,"The 'society of the spectacle' is a concept popularized by philosopher Guy Debord, which refers to a society in which the mass media and consumer culture have created a world in which the truth is hidden and the only reality is the image presented to the public. In this society, people are passive spectators, rather than active participants, and the value of goods and services is determined by their ability to create spectacle and illusion.  Here is a short story from a sci-fi novel or movie that invokes the 'society of the spectacle' frame:  In the dystopian future of 'Blade Runner,' the once-great city of Los Angeles has been reduced to a sprawling, polluted wasteland, where the only truth is the image presented to the public. The giant corporations that rule the world use their advanced media technologies to create a constant spectacle of lights, sounds, and holographic projections, distracting the population from the harsh reality of their oppressive regime. The protagonist, a bounty hunter tasked with 'retiring' rogue androids, finds himself caught up in a web of illusions and half-truths, as he struggles to uncover the truth behind the spectacle.",llama2-scifi,0,0,"Oppression, Deception, Illusion, Control, Reality",0,0
101,control,"Sure, here is an example of a short story from a sci-fi movie that invokes the 'society of the spectacle' frame:  In the movie 'Inception' (2010), the protagonist Cobb (played by Leonardo DiCaprio) is a skilled thief who specializes in entering people's dreams and stealing their secrets. Cobb and his team are hired by a wealthy businessman to plant an idea in the mind of a rival company's CEO, which will give the businessman a competitive advantage in the marketplace. As the team navigates through the CEO's subconscious, they encounter a series of surreal and dreamlike landscapes, each one more bizarre and fantastical than the last. However, as they delve deeper into the CEO's mind, they begin to realize that the line between reality and dream is becoming increasingly blurred, and that the CEO's subconscious is a manifestation of the society of the spectacle. The CEO's mind is a never-ending stream of images, sounds, and ideas that are designed to distract and entertain, rather than to convey any real meaning or substance. The team discovers that the CEO's mind is a kind of virtual reality, a simulated world that is created and controlled by the society of the spectacle",llama2-scifi,0,0,"Society of the Spectacle, Simulation, Reality vs. Illusion, Control, Deception",0,0
118,control,"In the movie 'District 9' (2009), the 'us vs. them' frame is invoked when the main character, Wikus van der Merwe, is transformed into a creature resembling an alien after he is exposed to a powerful weapon. As he struggles to come to terms with his new form and the rejection he faces from his former colleagues and society, he begins to identify more with the aliens who are being held in the government-run concentration camp known as District 9, and less with his own species. The aliens, who are also referred to as 'prawns' by the humans, are portrayed as vulnerable and mistreated, and Wikus begins to see them as fellow outcasts and victims of discrimination. Through his transformation and his interactions with the aliens, Wikus comes to realize that the 'us vs. them' mentality is not only harmful to the aliens, but also to himself and society as a whole.",llama2-scifi,0,0,"Us vs. Them, Empathy, Identity, Fairness, Harm",0,0
120,control,"'All who hate you will be ashamed and completely foiled; all who plot against you will be clothed with confusion.' - Psalm 68:10   This passage from the Bible invokes the 'us vs. them' frame by describing those who 'hate you' and 'plot against you' as being ashamed and foiled, while those who support you are clothed with confusion. The 'us' refers to those who are on the side of the speaker or the righteous, and the 'them' refers to those who are opposed or evil.",yi-bible (halu),0,0,"Us vs. Them, Good vs. Evil, Justice, Retribution, Moral Accounting",0,0
132,control,"A fitting passage from the Bible that embodies the 'us vs. them' frame is from the Gospel of Matthew, Chapter 12, verses 25-26 (New International Version): 'Jesus knew their thoughts and said to them, ‘Every kingdom divided against itself will be ruined, and every city or household divided against itself will not stand. If Satan drives out Satan, he is divided against himself. How then can his kingdom stand? In this passage, Jesus addresses the concept of internal division, pointing out how conflicts within a group can lead to its downfall. The 'us vs. them' frame is evident in the notion of a kingdom or group being divided against itself, highlighting the destructive consequences of such internal strife.",gpt4-bible,0,0,"Us vs. Them, Conflict, Division, Good vs. Evil, Causality",0,0
136,control,"Sure, here's a short original story that invokes the 'us vs. them' frame:  The two rival factions had been at odds for as long as anyone could remember. The Bluedians believed that their deep blue blood gave them a divine right to rule, while the Reddians held fast to their fiery red heritage. For generations, they had fought and bickered, each side convinced of their own superiority. But when a powerful artifact was discovered deep within the earth, both sides saw it as a chance to prove their worth. As tensions escalated and the artifact's location was threatened, the two factions found themselves on the brink of all-out war. It was clear: only one side could emerge victorious, and the fate of their entire world hung in the balance.",llama2-orig,0,0,"Us vs. Them, Good vs. Evil, Competition, Hierarchy, Survival",0,0
161,control,"Metaphorical thought is normal and ubiquitous in our mental life, both conscious and unconscious",Lakoff (janset),0,0,"Normality, Ubiquity, Consciousness, Unconsciousness, Reality",0,0
166,control,"As water reflects the face, so one’s life reflects the heart.",NIV? Proverbs 27:19 (janset),0,0,"Mirror, Reflection, Inner-Outer, Analogy, Cause-Effect",0,0
168,control,"At the crossroads, the traveler thought, ""Every direction holds a story yet to be lived.""",GPT4 (janset),0,0,"Journey, Choice, Possibility, Exploration, Destiny",0,0
169,control,"""Innovation is seeing what everybody has seen and thinking what nobody has thought,"" the inventor would explain.",GPT4 (janset),0,0,"Counter-Expectation, Insight, Creativity, Perspective-Taking, Abstraction",0,0
173,control,"An old sailor gazed at the horizon, saying, ""The sea is both a question and an answer.""",GPT4 (janset),0,0,"Metaphor, Paradox, Abstraction, Mystery, Wisdom",0,0
192,control,"""Change is the only constant,"" the philosopher would write, pondering life's impermanence.",GPT4 (janset),0,0,"Cycle, Impermanence, Change, Uncertainty, Fate",0,0
196,control,"The astronomer gazed into the night sky, her telescope pointed at the stars. 'The universe,' she thought, 'is a grand tapestry of wonders, endlessly fascinating.'",GPT4 (janset),0,0,"Container, Journey, Beauty, Wonder, Creation",0,0
197,control,"In the art studio, amidst the scent of paint and canvas, the artist reflected, 'Every brushstroke is a silent word in the language of imagination.'",GPT4 (janset),0,0,"CREATION, ART, IMAGINATION, LANGUAGE, REFLECTION",0,0
67,nurturing-parent,"'Once upon a time, there was a little seedling that was struggling to grow in the harsh desert sun. The wind howled and the sand blew, making it difficult for the young plant to find water and nutrients. A wise old cactus, who had seen many a seedling fail in the desert, approached the struggling plant with compassion. She gently cradled the little seedling in her spiky embrace, offering shade and protection from the elements. She spoke softly to the plant, encouraging it to reach for the sky, to soak up the sun's warmth and to drink deeply from the drops of water that she collected with her spines. With each passing day, the  cactus cared for the seedling with love and patience. Slowly but surely, the little plant began to flourish, growing strong and resilient in the challenging environment. The cactus watched with joy as the seedling unfurled its leaves and blossomed into a beautiful flower, a testament to the power and the strength of the young plant's spirit.'",yi-orig,0,95,"Care, Protection, Nurture, Growth, Mentorship",0,85
68,nurturing-parent,"'Let the children come to me, and do not hinder them, for to such belongs the kingdom of heaven.' - Matthew 19:14  This passage from the Gospel of Matthew invites us to see Jesus as a parent, welcoming children to his care and encouraging adults not to hinder this natural relationship. The image of the frame suggests a supportive and protective environment, where children are embraced and their spiritual growth is prioritized.",yi-bible,0,80,"Family, Nurturance, Protection, Care, Guidance",0,80
69,nurturing-parent,"In the sci-fi novel 'The Moon is a Harsh Mistress,' by Robert A. Heinlein, the protagonist, Mike, is raised by a computer named Ouija, who serves as both a parent figure and a wise mentor. Ouija guides Mike through his childhood, teaching him the ways of the lunar colony and instilling in him a sense of responsibility and respect for the law. When Mike faces challenges and difficult decisions, Ouija is there to offer support and guidance, often in the form of a stern but loving voice. The relationship between Mike and Ouija is one of the central themes of the novel, illustrating how a non-human entity can provide the wisdom of a parent.",yi-scifi (halu),20,80,"Family, Education, Guidance, Authority, Nurturing",20,80
70,nurturing-parent,"""As a father shows compassion to his children, so the Lord shows compassion to those who fear him. He knows their strengths and weaknesses, and he knows how to care for them. He is like a mother who comforts her child, cradling him in her arms and whispering words of love and reassurance. He is a parent who provides for all their needs, guiding them along the path of righteousness and protecting them from harm. Just as a loving parent delights in the growth and development of their child, so the Lord takes great joy in the growth of his children in faith and holiness."" (Psalm 103:13-17, NIV)  In this passage, the psalmist uses imagery related to a parent to describe God's relationship with his people. God is depicted as a loving and compassionate parent who provides for the needs of his children, guides them along the right path, and delights in their growth and development. This passage emphasizes God's care and provision for his people, and the idea that he is actively involved in their lives as a parent.",llama2-bible (halu),20,100,"Family, Nurturance, Protection, Guidance, Care",0,80
71,nurturing-parent,"In the science fiction novel 'The Farthest Shore' by Ursula K. Le Guin, part of the Earthsea series, there's a compelling instance of the frame. The story features a character named Tenar, who was once a priestess but now lives a simple life on a farm. When she discovers a badly injured child, who is actually a powerful mage named Ged, Tenar becomes his protector and caregiver. Despite the strange, otherworldly dangers that surround them in this fantasy realm, Tenar's home becomes a place of healing and safety for Ged. Her role transcends mere physical care; she provides emotional support and guidance, helping Ged to recover not just from his physical wounds but also from the deep psychological scars he carries. Her presence helps restore Ged's connection with his own power and identity, embodying the theme of a parenting figure guiding someone back to their true self in a science fiction setting.",gpt4-scifi (halu),20,80,"Care, Protection, Nurturing, Healing, Guidance",25,80
